candidate_label,closest_calibration_drug,neighborhood_purity
AHA_Plate007_1_010018,FLA_1.2,1.0
AHA_Plate006_012007,CAM_25,1.0
AHA_Plate008_007010,CAM_25,1.0
AHA_Plate006_001017,BMH-21_2,1.0
ALB_Plate002_2_007004,BMH-21_2,1.0
ALB_Plate009_006003,t-BHP_100,1.0
AEB_Plate009_006021,CX-5461_10,1.0
ALB_Plate020_004022,CX-5461_10,1.0
AHA_Plate009_2_007007,HES_5,1.0
AHA_Plate010_007003,CAM_25,1.0
AHA_Plate008_008019,CAM_25,1.0
AHA_Plate001_2_003019,DOX_5,1.0
AHA_Plate008_013015,CX-5461_10,1.0
AHA_Plate001_1_008019,DOX_5,1.0
AHA_Plate003_009008,DOX_5,1.0
AHA_Plate001_1_006015,BMH-21_2,1.0
AHA_Plate001_2_006015,MIT_3,1.0
AHA_Plate001_2_001017,DOX_5,1.0
ALB_Plate002_1_007004,BMH-21_2,1.0
ALB_Plate012_004011,ETO_500,1.0
AEB_Plate023_014014,BMH-21_2,1.0
AHA_Plate003_007011,BMH-21_2,1.0
AEB_Plate044_005020,CAM_25,0.95
AHA_Plate003_009003,CAM_25,0.95
AHA_Plate001_1_001017,DOX_5,0.95
ALB_Plate023_2_016013,t-BHP_100,0.95
AEB_Plate037_016022,t-BHP_100,0.95
AHA_Plate003_010015,HES_5,0.95
ALB_Plate011_2_005012,MEN_40,0.95
ALB_Plate013_006014,MEN_40,0.95
AHA_Plate005_004003,t-BHP_100,0.95
ALB_Plate021_001018,BMH-21_2,0.95
ALB_Plate013_004014,MEN_40,0.95
AEB_Plate021_012006,t-BHP_100,0.95
ALB_Plate010_2_011014,BMH-21_2,0.95
ALB_Plate011_1_005012,MEN_40,0.95
AHA_Plate003_002010,DRB_200,0.95
AHA_Plate008_015016,FLA_1.2,0.95
AHA_Plate005_003011,BMH-21_2,0.95
ALB_Plate011_1_004005,CAM_25,0.95
AHA_Plate001_2_005007,CAM_25,0.95
AHA_Plate006_002003,CX-5461_10,0.95
ALB_Plate011_2_004005,CAM_25,0.95
AEB_Plate002_004006,t-BHP_100,0.9
AEB_Plate018_004016,DMSO,0.9
ALB_Plate023_2_008019,t-BHP_100,0.9
ALB_Plate010_1_011014,BMH-21_2,0.9
AHA_Plate006_008008,BMH-21_2,0.9
AHA_Plate008_007009,CAM_25,0.9
ALB_Plate002_2_013004,t-BHP_100,0.9
AHA_Plate004_012022,BMH-21_2,0.9
AHA_Plate001_1_003019,DOX_5,0.9
ALB_Plate013_014012,MEN_40,0.85
