candidate_label,mean_knn_distance
AHA_Plate001_1_005007,0.4127428
ALB_Plate010_1_007021,0.39412886
ALB_Plate013_005012,0.34250396
AHA_Plate008_005021,0.31785202
AHA_Plate008_005005,0.31225166
AHA_Plate009_1_016009,0.2981609
AHA_Plate009_1_015002,0.2925528
ALB_Plate003_014018,0.27013022
AHA_Plate001_1_009010,0.26892263
AHA_Plate009_1_003002,0.26149595
ALB_Plate003_012007,0.25287056
AEC_Plate020_006004,0.2519347
ALB_Plate008_006016,0.24712236
AHA_Plate009_1_015001,0.24387643
ALB_Plate010_2_007021,0.22990337
AHA_Plate009_1_001003,0.22891946
AHA_Plate008_015016,0.22148375
AHA_Plate009_1_003001,0.21385534
AHA_Plate006_004004,0.2083992
AHA_Plate006_016008,0.19919929
AHA_Plate001_2_005007,0.18767074
AHA_Plate007_1_015021,0.18313935
AHA_Plate009_2_016009,0.1826985
AHA_Plate010_011019,0.17832765
AHA_Plate008_001009,0.17181131
AHA_Plate006_014010,0.16823101
AHA_Plate009_2_015010,0.16488461
AHA_Plate009_2_001003,0.15339045
ALB_Plate011_2_003018,0.15016136
AHA_Plate009_1_015010,0.1493852
ALB_Plate012_004011,0.13939495
ALB_Plate017_001015,0.13677481
AEB_Plate044_005020,0.1259393
AHA_Plate001_2_009010,0.11986585
AHA_Plate006_004010,0.11795636
ALB_Plate011_1_003018,0.112684056
AEB_Plate019_002013,0.10309814
ALB_Plate011_2_011016,0.10200192
AHA_Plate004_013010,0.0985853
AHA_Plate009_1_007007,0.097039774
AHA_Plate001_2_008019,0.090969965
ALB_Plate013_014012,0.089386076
ALB_Plate011_2_008007,0.08087017
ALB_Plate023_1_013017,0.07852678
ALB_Plate002_2_013007,0.076686904
ALB_Plate003_002022,0.074851334
AHA_Plate007_1_016011,0.07137655
ALB_Plate011_1_008007,0.06950066
ALB_Plate006_013016,0.06592919
ALB_Plate011_1_011016,0.06407784
ALB_Plate006_007014,0.062699705
ALB_Plate002_1_013007,0.06018405
AEC_Plate016_006020,0.059979282
ALB_Plate013_015005,0.059973747
AHA_Plate010_009017,0.05976392
ALB_Plate001_1_006019,0.05659952
AHA_Plate008_015009,0.055942904
AHA_Plate002_002020,0.053328246
ALB_Plate020_004007,0.053224124
ALB_Plate022_2_008016,0.053086292
AEB_Plate017_011009,0.05308084
AEB_Plate047_002008,0.05152818
ALB_Plate001_2_003007,0.051460408
AHA_Plate008_001007,0.05069231
ALB_Plate002_1_008009,0.04803162
AHA_Plate007_1_001003,0.04707737
ALB_Plate023_2_013017,0.04493776
ALB_Plate021_007015,0.04484858
ALB_Plate003_006021,0.044451058
ALB_Plate002_1_009005,0.04382778
AHA_Plate003_010015,0.04362002
ALB_Plate012_016005,0.04309706
ALB_Plate001_1_003007,0.042796485
ALB_Plate022_1_008016,0.042105157
AEB_Plate034_015017,0.04063831
ALB_Plate023_1_008019,0.039507665
ALB_Plate003_016020,0.039252132
ALB_Plate018_001013,0.037740894
ALB_Plate012_008007,0.03772851
AHA_Plate006_003019,0.037481397
ALB_Plate006_005014,0.036891438
ALB_Plate025_009015,0.036569674
AHA_Plate009_1_005001,0.03535679
AHA_Plate009_1_005002,0.03473518
ALB_Plate011_2_015016,0.03421282
AHA_Plate008_008019,0.031481504
AHA_Plate009_1_007017,0.03133761
ALB_Plate018_011013,0.029833162
ALB_Plate017_011004,0.028774178
ALB_Plate015_001005,0.028562898
ALB_Plate021_012022,0.02794497
AHA_Plate009_1_003003,0.027347982
ALB_Plate017_001004,0.027220916
AEC_Plate005_001014,0.02715066
AEB_Plate017_014023,0.026601702
ALB_Plate006_011014,0.026217598
AHA_Plate007_1_006008,0.02605012
ALB_Plate011_1_007012,0.0253681
ALB_Plate017_007017,0.025014114
AEC_Plate026_2_014013,0.024448097
AHA_Plate009_2_007017,0.02420885
AHA_Plate007_1_003011,0.024169916
AHA_Plate004_008022,0.023855811
AEC_Plate026_1_014013,0.022480011
ALB_Plate025_006020,0.022406202
AHA_Plate010_009009,0.0223001
ALB_Plate022_1_015003,0.022185672
AHA_Plate005_009011,0.022129934
ALB_Plate011_1_015016,0.021082764
ALB_Plate011_2_007012,0.020100886
AHA_Plate009_1_009002,0.019476796
AHA_Plate011_1_005001,0.019150525
ALB_Plate018_009013,0.018732727
AHA_Plate007_1_012015,0.018491363
AHA_Plate007_1_010018,0.018060232
AHA_Plate011_1_005002,0.017278815
AEB_Plate037_014002,0.017149251
ALB_Plate012_001007,0.017101372
AHA_Plate001_1_001017,0.016938586
ALB_Plate008_001008,0.01633491
AEB_Plate024_013024,0.016010517
ALB_Plate012_006010,0.015954774
ALB_Plate013_016012,0.01583011
ALB_Plate010_1_012008,0.015222609
AEC_Plate025_011010,0.014852852
AHA_Plate005_004003,0.01479764
AHA_Plate009_1_009001,0.014697778
AHA_Plate007_1_002018,0.014508056
AHA_Plate008_003005,0.014423871
