"well_index","Plate001","Plate002","Plate003","Plate004","Plate005","Plate006","Plate007","Plate008","Plate010","Plate009","Plate011"
"001001","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","?","?"
"001002","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","DMSO","?","?"
"001003","Axitinib","Oxybutynin","Tetrandrine","Chlorobutanol","Luliconazole","Eperisone hydrochloride","Lanatoside C","Niraparib (MK-4827) tosylate","Erlotinib HCl (OSI-744)","Perifosine (KRX-0401)","Oxaliplatin"
"001004","Clopidogrel","Terazosin HCl Dihydrate","Icotinib","Methazolamide","Clioquinol","Solifenacin","Cyclopentolate Hydrochloride","Morin","?","Citicholine","?"
"001005","Ridaforolimus (Deforolimus, MK-8669)","Cefditoren Pivoxil","Inosine","Flibanserin","Flufenamic acid","Perospirone hydrochloride","Thioridazine hydrochloride","Monomethyl auristatin E (MMAE)","Marbofloxacin","Galanthamine HBr","Calcium gluconate"
"001006","Tizanidine HCl","Argatroban","Amoxicillin","Bisacodyl","Fenoldopam mesylate","Darunavir","Benazepril","Homoorientin","?","DL-Serine","?"
"001007","Rapamycin (Sirolimus)","Trifluridine","Bethanechol chloride","Vilanterol Trifenate","Tasimelteon","cis-Aconitic acid","Olmesartan","Afatinib (BIBW2992) Dimaleate","Paliperidone","Perindopril Erbumine","Sodium Hyaluronate"
"001008","Tipifarnib","Adiphenine HCl","Fenoprofen calcium hydrate","Methyclothiazide","(+/-)-Sulfinpyrazone","Stiripentol","Baloxavir marboxil","Temocapril","?","L-aspartic Acid","?"
"001009","Masitinib (AB1010)","Simvastatin","Famciclovir","Travoprost","Labetalol HCl","Glycocholic acid","Sodium cholate","Y-39983 HCl","Lornoxicam","Nedaplatin","?"
"001010","Daclatasvir (BMS-790052)","Detomidine HCl","Rofecoxib","Guanabenz Acetate","Prasugrel Hydrochloride","Tiletamine Hydrochloride","Dibutyl sebacate","Ebselen","?","pentetate calcium trisodium hydrate","?"
"001011","Ivacaftor (VX-770)","Nifedipine","Manidipine","Quinidine sulfate","(R)-(+)-Atenolol HCl","Azathramycin","Benzalkonium chloride","Vonoprazan Fumarate (TAK-438)","Hypoxanthine","D-Cycloserine","?"
